股票代號,公司名稱,產業大類,受惠股,公布或事件日期,政策狀態,政策名稱,證據文件,正式政策,事件日至今總漲幅（截至2026-07-17）
HII,Huntington Ingalls Industries Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+46.81%
HONA,Honeywell Aerospace Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,N/A（事件日尚未上市／無行情）
HWM,Howmet Aerospace Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+138.37%
HXL,Hexcel Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+121.39%
KRMN,Karman Holdings Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+66.08%
KTOS,Kratos Defense & Security Solutions Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+59.16%
LDOS,Leidos Holdings Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,-19.10%
LHX,L3Harris Technologies Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+43.46%
LMT,Lockheed Martin Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+18.66%
LOAR,Loar Holdings Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,-7.04%
LUNR,Intuitive Machines Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+86.35%
MDA,MDA Space Ltd.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,N/A（事件日尚未上市／無行情）
MRCY,Mercury Systems Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+123.65%
NOC,Northrop Grumman Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+8.19%
ONDS,Ondas Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+770.00%
PDYN,Palladyne AI Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,-11.59%
PKE,Park Aerospace Corp,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+173.30%
PL,Planet Labs PBC,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+639.14%
PLTR,Palantir Technologies Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+71.21%
RCAT,Red Cat Holdings Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+15.41%
RDW,Redwire Corporation,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+9.60%
RKLB,Rocket Lab USA Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+293.60%
RTX,RTX Corp,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+64.03%
SAIC,Science Applications International Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+8.18%
SIF,SIFCO Industries Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+778.91%
SPCX,Space Exploration Technologies Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,N/A（事件日尚未上市／無行情）
TATT,TAT Technologies Ltd.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+55.75%
TDG,Transdigm Group Incorporated,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+5.37%
TXT,Textron Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+50.31%
UAVS,AgEagle Aerial Systems Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,-29.13%
UMAC,Unusual Machines Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+244.81%
VSEC,VSE Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+87.96%
VVX,V2X Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+65.59%
WWD,Woodward Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+150.75%
YSS,York Space Systems Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,N/A（事件日尚未上市／無行情）
AADX,Applied Aerospace & Defense Inc.,國防／太空／情報,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
AXON,Axon Enterprise Inc,國防／太空／情報,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CDRE,Cadre Holdings Inc,國防／太空／情報,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
SPCE,Virgin Galactic Holdings Inc,國防／太空／情報,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
VOYG,Voyager Technologies Inc.,國防／太空／情報,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
AMD,Advanced Micro Devices Inc.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+220.42%
AMZN,Amazon.com Inc.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+8.69%
ANET,Arista Networks Inc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+53.59%
APH,Amphenol Corp.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+49.57%
BE,Bloom Energy Corp,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+729.00%
CARR,Carrier Global Corp,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,-9.06%
CEG,Constellation Energy Corporation,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,-20.16%
CSCO,"Cisco Systems, Inc.",AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+67.63%
DELL,Dell Technologies Inc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+222.31%
ETN,Eaton Corporation plc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+8.58%
GEV,GE Vernova Inc.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+93.13%
GLW,"Corning, Inc.",AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+189.34%
GOOGL,Alphabet Inc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+81.75%
HPE,Hewlett Packard Enterprise Co,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+129.17%
IBM,International Business Machines Corp.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,-22.65%
JCI,Johnson Controls International plc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+30.46%
MOD,Modine Manufacturing Co.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+144.42%
MSFT,Microsoft Corporation,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,-21.43%
NVDA,NVIDIA Corp,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+21.58%
NVT,nVent Electric plc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+108.70%
ORCL,Oracle Corp.,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,-46.31%
PWR,"Quanta Services, Inc.",AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+59.29%
SMCI,Super Micro Computer Inc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,-51.50%
TT,Trane Technologies plc,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+5.71%
VRT,Vertiv Holdings Co,AI／資料中心／電力基建,有(紅色),2025-07-23,執行中,Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318 — Accelerating Federal Permitting of Data Center Infrastructure,Executive Order 14318,+131.37%
ABB,ABB Ltd.,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
DLR,Digital Realty Trust Inc,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
EQIX,Equinix Inc,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
FLNC,Fluence Energy Inc,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
META,Meta Platforms Inc,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
NRG,NRG Energy Inc.,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
VST,Vistra Corp,AI／資料中心／電力基建,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
AMAT,Applied Materials Inc.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+74.17%
AMD,Advanced Micro Devices Inc.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+124.36%
GFS,GlobalFoundries Inc,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+40.84%
INTC,Intel Corp.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+100.97%
KLAC,KLA Corp.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+47.94%
LRCX,Lam Research Corp.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+46.42%
MCHP,"Microchip Technology, Inc.",半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+10.50%
MU,Micron Technology Inc.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+151.22%
NVDA,NVIDIA Corp,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+9.28%
ON,ON Semiconductor Corp.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+47.06%
TER,"Teradyne, Inc.",半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+40.71%
